Course,Speed,lng,lat
201.6,7.4,129.592892,34.568688
197.3,7.3,129.592775,34.568403
197.9,7.2,129.592632,34.568083
199.6,7.5,129.592478,34.567725
199.0,7.4,129.59237,34.567433
196.8,7.3,129.592255,34.56714
198.2,7.3,129.59208,34.566753
200.9,7.5,129.591943,34.566463
201.7,7.4,129.591778,34.566115
200.6,7.4,129.59162,34.565757
196.8,7.5,129.59152,34.565488
198.3,7.5,129.591378,34.56516
200.5,7.5,129.591218,34.564803
201.3,7.4,129.591072,34.56448
198.1,7.5,129.590952,34.56419
197.7,7.6,129.590792,34.563822
199.0,7.5,129.590665,34.56353
196.9,7.5,129.590528,34.563162
197.4,7.6,129.590388,34.56279
197.8,7.5,129.590275,34.562493
198.9,7.6,129.590147,34.562195
200.8,7.6,129.589998,34.561868
200.1,7.5,129.589865,34.561532
199.6,7.5,129.58971,34.561175
199.7,7.5,129.58957,34.560842
198.5,7.5,129.589443,34.56051
196.1,7.6,129.589325,34.560172
196.7,7.6,129.589227,34.559905
196.8,7.5,129.589083,34.559502
196.7,7.7,129.58896,34.559158
198.0,7.6,129.588833,34.558825
197.5,7.5,129.588708,34.558492
197.1,7.6,129.588573,34.558153
200.2,7.5,129.588458,34.557893
201.3,7.5,129.588292,34.557497
201.1,7.5,129.58815,34.557165
199.4,7.5,129.588015,34.556833
196.9,7.5,129.58788,34.5565
199.8,7.6,129.587728,34.556173
202.8,7.5,129.587593,34.555882
200.6,7.4,129.587435,34.555483
196.6,7.8,129.587322,34.555168
197.9,7.6,129.587193,34.55484
199.9,7.4,129.587058,34.55451
198.4,7.8,129.586935,34.554162
196.3,7.5,129.586843,34.553898
198.3,7.4,129.58669,34.553497
200.5,7.6,129.586548,34.553162
199.5,7.5,129.586415,34.552835
198.7,7.4,129.586275,34.552507
200.2,7.6,129.586108,34.552142
201.8,7.6,129.585973,34.551852
201.2,7.4,129.585832,34.551525
200.9,7.6,129.585683,34.551193
199.5,7.5,129.585545,34.550867
197.3,7.5,129.585427,34.550567
197.5,7.6,129.585283,34.550198
198.4,7.6,129.585162,34.549897
196.9,7.7,129.585038,34.549557
197.9,7.6,129.584887,34.549188
201.0,7.6,129.584752,34.548892
201.1,7.7,129.584595,34.548525
199.9,7.5,129.584453,34.548198
199.8,7.6,129.584305,34.547867
201.6,7.6,129.584168,34.547573
