Heading,Course,Speed,lng,lat,MMSI
21,22.2,10,122.805415,36.030192,412153000
13,13.9,10.3,122.827368,36.092752,412153000
13,14.5,10.3,122.827648,36.093632,412153000
13,13.4,10.2,122.830357,36.102488,412153000
11,11.4,10.3,122.8326,36.110788,412153000
6,5.1,10.4,122.834257,36.119827,412153000
1,3.4,10.3,122.835758,36.132298,412153000
1,2.5,10.3,122.835778,36.13273,412153000
2,1.1,10.3,122.835787,36.133255,412153000
1,1.9,10.4,122.835862,36.135083,412153000
1,2,10.4,122.835923,36.136585,412153000
1,1.9,10.4,122.835973,36.137555,412153000
0,1.5,10.4,122.835988,36.13804,412153000
0,0.9,10.4,122.836007,36.139058,412153000
0,0.6,10.4,122.836008,36.139542,412153000
358,2.3,10.4,122.836063,36.140948,412153000
347,356.7,10.2,122.836052,36.143347,412153000
346,354.8,10.1,122.835995,36.143765,412153000
342,350.3,10,122.835802,36.144682,412153000
345,340.8,10,122.834292,36.148273,412153000
345,342.2,10.1,122.833933,36.149162,412153000
345,342.5,10.1,122.833757,36.149607,412153000
345,342.7,10.1,122.833432,36.150457,412153000
346,342.6,10.3,122.832708,36.152312,412153000
346,343.7,10.3,122.832565,36.15273,412153000
345,343.6,10.5,122.832217,36.153712,412153000
349,343.3,10.5,122.831675,36.155105,412153000
350,345.4,10.6,122.831377,36.156,412153000
355,348.1,10.7,122.830828,36.157962,412153000
355,350,10.7,122.830755,36.158355,412153000
355,353.1,10.7,122.830588,36.159483,412153000
355,353.5,10.7,122.830537,36.15988,412153000
357,352.9,10.7,122.830452,36.160422,412153000
359,353.5,10.6,122.830303,36.161398,412153000
1,357.7,10.6,122.830208,36.162823,412153000
3,357.7,10.6,122.83018,36.163362,412153000
12,3.8,10.7,122.830428,36.167757,412153000
15,9,10.7,122.830612,36.16874,412153000
15,16.1,10.6,122.831515,36.171553,412153000
15,16.1,10.6,122.831683,36.172027,412153000
15,16.1,10.6,122.831883,36.172592,412153000
15,16.5,10.6,122.83238,36.17396,412153000
18,15.4,10.7,122.832698,36.174917,412153000
18,17,10.7,122.832902,36.17544,412153000
20,19,11,122.833678,36.177257,412153000
21,19.7,10.9,122.833888,36.177725,412153000
20,22.1,10.9,122.834177,36.17828,412153000
19,21.6,10.8,122.834835,36.179578,412153000
20,20.4,10.8,122.837083,36.18428,412153000
22,19.5,10.7,122.837282,36.184747,412153000
23,20.2,10.7,122.837493,36.185212,412153000
23,21.8,10.7,122.837708,36.185625,412153000
23,24.1,10.9,122.838268,36.186637,412153000
24,25.9,10.9,122.84119,36.191625,412153000
24,25.6,10.9,122.841458,36.192077,412153000
24,25.1,10.9,122.842218,36.193405,412153000
24,25.8,10.9,122.843083,36.194862,412153000
24,25.9,11,122.843302,36.195228,412153000
24,26.8,10.8,122.845218,36.198382,412153000
24,26.4,10.8,122.846878,36.201068,412153000
24,26.3,10.8,122.847148,36.201515,412153000
24,26,10.8,122.84774,36.202508,412153000
24,26,10.8,122.848222,36.203317,412153000
24,25.5,10.8,122.849312,36.205173,412153000
24,25.5,10.8,122.849552,36.20558,412153000
24,25.6,10.9,122.849793,36.205988,412153000
24,25.4,10.9,122.850083,36.206492,412153000
24,25.2,10.9,122.850347,36.206945,412153000
22,26.4,10.9,122.85114,36.208245,412153000
21,25.4,10.9,122.851428,36.208747,412153000
21,24.6,10.9,122.851707,36.20925,412153000
21,24.3,10.8,122.851957,36.209707,412153000
19,23.6,10.8,122.852685,36.211032,412153000
18,22.8,10.7,122.852917,36.21149,412153000
18,22.2,10.7,122.85314,36.211947,412153000
16,20.1,10.7,122.853998,36.213795,412153000
15,18,10.6,122.854375,36.214728,412153000
14,17.1,10.5,122.855087,36.216598,412153000
14,15.9,10.5,122.85526,36.217115,412153000
14,15,10.5,122.855565,36.218047,412153000
14,15.5,10.5,122.855713,36.218468,412153000
13,15.7,10.5,122.856045,36.219405,412153000
13,15.2,10.5,122.856203,36.219878,412153000
13,14.4,10.6,122.856337,36.220307,412153000
13,14,10.6,122.856495,36.220833,412153000
13,14.1,10.6,122.856643,36.22131,412153000
13,14.2,10.6,122.856793,36.22179,412153000
12,13.8,10.7,122.857098,36.222798,412153000
13,13.2,10.7,122.85722,36.223233,412153000
13,13.1,10.7,122.857357,36.223717,412153000
13,13.3,10.7,122.857512,36.22425,412153000
13,13.5,10.8,122.85764,36.224685,412153000
13,13.7,10.7,122.857785,36.225167,412153000
13,13.9,10.7,122.857932,36.225647,412153000
13,14.3,10.6,122.858228,36.226603,412153000
13,14.2,10.6,122.858377,36.227078,412153000
13,14.7,10.6,122.859132,36.229465,412153000
13,14.4,10.6,122.85931,36.230033,412153000
13,13.8,10.6,122.859732,36.231408,412153000
13,14.2,10.6,122.860018,36.232317,412153000
13,13.6,10.7,122.860462,36.233762,412153000
13,13.6,10.7,122.860608,36.234243,412153000
13,14,10.7,122.860745,36.234673,412153000
13,14.5,10.6,122.860915,36.235195,412153000
13,13.9,10.6,122.86165,36.237575,412153000
13,14,10.7,122.862245,36.239492,412153000
13,14.1,10.6,122.862852,36.24144,412153000
13,14,10.6,122.863133,36.242335,412153000
13,13.9,10.6,122.863278,36.24281,412153000
13,14.1,10.6,122.863575,36.243762,412153000
13,14.1,10.6,122.86371,36.24419,412153000
13,13.3,10.7,122.864155,36.245673,412153000
13,13.5,10.6,122.864297,36.24615,412153000
13,13.7,10.5,122.864453,36.246672,412153000
13,13.8,10.6,122.86457,36.247052,412153000
13,14,10.6,122.86472,36.247528,412153000
13,13.8,10.7,122.864878,36.248057,412153000
13,13.8,10.7,122.865027,36.248537,412153000
14,14.5,10.7,122.865345,36.24954,412153000
14,15.2,10.7,122.865475,36.249922,412153000
13,15.6,10.7,122.86564,36.250398,412153000
13,15.6,10.7,122.86582,36.250923,412153000
13,15.1,10.7,122.865978,36.251402,412153000
13,14.6,10.7,122.866132,36.25188,412153000
13,14.6,10.8,122.866302,36.252412,412153000
13,14.7,10.8,122.866445,36.252845,412153000
13,14.7,10.7,122.866938,36.254327,412153000
13,14.3,10.8,122.86707,36.25476,412153000
13,14,10.8,122.867352,36.255677,412153000
12,13.9,10.7,122.867502,36.256157,412153000
13,13.3,10.7,122.8678,36.25716,412153000
13,13.5,10.7,122.868087,36.258118,412153000
13,13.8,10.7,122.86822,36.25855,412153000
13,14.2,10.7,122.868387,36.259077,412153000
12,13.9,10.8,122.86855,36.259607,412153000
13,13.5,10.7,122.868692,36.260083,412153000
13,14,10.8,122.869117,36.26148,412153000
13,14.4,10.8,122.86943,36.262443,412153000
13,14,10.8,122.86975,36.263453,412153000
13,14,10.8,122.869887,36.263888,412153000
13,14.5,10.8,122.87003,36.26432,412153000
12,15.2,10.8,122.8702,36.264797,412153000
11,15.3,10.7,122.870385,36.26532,412153000
10,14.1,10.7,122.87053,36.265798,412153000
10,13,10.6,122.870675,36.266323,412153000
10,12.6,10.6,122.870792,36.266752,412153000
9,12.8,10.6,122.870925,36.267227,412153000
8,12.4,10.6,122.871055,36.26771,412153000
7,9.5,10.6,122.871383,36.269205,412153000
6,8.8,10.6,122.871463,36.269642,412153000
5,8.5,10.6,122.871553,36.270127,412153000
3,6.5,10.6,122.871773,36.271538,412153000
3,5.5,10.6,122.87184,36.272127,412153000
2,5.1,10.6,122.871888,36.27257,412153000
0,0.6,10.5,122.872112,36.277408,412153000
0,0.2,10.4,122.872113,36.277987,412153000
0,0.3,10.4,122.87212,36.27842,412153000
0,0.4,10.5,122.872127,36.278855,412153000
0,0.2,10.5,122.87213,36.27939,412153000
0,359.8,10.5,122.872127,36.27983,412153000
0,0.1,10.6,122.872125,36.280857,412153000
0,0.4,10.6,122.872132,36.281397,412153000
0,0.3,10.6,122.872135,36.28184,412153000
0,0,10.7,122.872135,36.283773,412153000
0,0.2,10.8,122.872138,36.284328,412153000
0,0.4,10.8,122.87215,36.285375,412153000
0,0,10.8,122.87215,36.286273,412153000
0,0.2,10.8,122.872155,36.287822,412153000
0,359.8,10.8,122.87217,36.290318,412153000
0,359.7,10.7,122.872167,36.291365,412153000
0,359.9,10.8,122.872182,36.292798,412153000
0,0.1,10.7,122.872182,36.293793,412153000
0,0.2,10.7,122.872183,36.29429,412153000
0,0.3,10.7,122.872195,36.29578,412153000
0,0.4,10.7,122.8722,36.296277,412153000
0,0.3,10.6,122.872213,36.297307,412153000
0,0.3,10.6,122.872215,36.297747,412153000
0,0.5,10.6,122.87222,36.298287,412153000
0,1,10.6,122.872228,36.298778,412153000
0,1.2,10.6,122.872237,36.299223,412153000
0,0.7,10.8,122.872253,36.300268,412153000
0,0.4,10.8,122.872255,36.300715,412153000
0,0.6,10.9,122.872272,36.30221,412153000
0,0.6,10.8,122.872297,36.304253,412153000
0,0.9,10.9,122.872332,36.305758,412153000
0,0.9,11,122.87234,36.306265,412153000
0,0.8,11,122.872347,36.306722,412153000
0,0.8,11,122.872355,36.307292,412153000
0,0.8,11,122.872362,36.307737,412153000
0,0.8,11,122.872372,36.30824,412153000
359,0.7,11,122.872378,36.308745,412153000
0,359.4,10.9,122.872362,36.310262,412153000
0,359.9,10.9,122.872363,36.310763,412153000
0,0.3,10.9,122.872363,36.311315,412153000
0,0,10.9,122.872347,36.31232,412153000
0,359.8,10.9,122.872342,36.312773,412153000
0,0.4,10.9,122.872347,36.313323,412153000
0,0,10.9,122.872343,36.313827,412153000
0,359.7,10.9,122.872333,36.314835,412153000
0,359.9,10.9,122.872333,36.315342,412153000
1,0.5,10.9,122.872342,36.315798,412153000
1,1,10.9,122.872357,36.316357,412153000
0,1.3,10.9,122.872375,36.31686,412153000
0,0.9,10.9,122.872395,36.31782,412153000
1,1.5,10.9,122.872448,36.319393,412153000
0,1.7,10.9,122.872503,36.320855,412153000
0,1.2,10.9,122.872575,36.32293,412153000
0,0.8,10.9,122.872592,36.323892,412153000
0,1,11,122.872635,36.325965,412153000
0,0.8,11,122.872665,36.327537,412153000
0,0.5,10.9,122.872677,36.328442,412153000
0,1.6,10.9,122.872712,36.329492,412153000
0,1.4,10.9,122.872727,36.329943,412153000
0,1.1,10.8,122.872742,36.330492,412153000
0,0.5,10.8,122.87276,36.331988,412153000
0,0.5,10.9,122.872765,36.33244,412153000
0,1.2,10.9,122.872797,36.333495,412153000
0,1.1,10.9,122.872823,36.334502,412153000
0,1.4,10.9,122.872852,36.33551,412153000
0,1.8,10.9,122.872875,36.335967,412153000
0,1.9,11,122.872902,36.336528,412153000
0,1.6,11,122.872918,36.337037,412153000
0,1.5,11,122.872935,36.337493,412153000
0,1.8,11,122.872953,36.337947,412153000
0,1.6,10.9,122.872973,36.3385,412153000
0,1.6,10.9,122.87299,36.339003,412153000
0,1.7,11,122.873012,36.339558,412153000
0,1.9,10.9,122.873072,36.340967,412153000
0,2.1,10.8,122.873093,36.341467,412153000
0,2.2,10.8,122.87312,36.342018,412153000
0,1.9,10.8,122.87317,36.343072,412153000
0,1.8,10.8,122.873232,36.344523,412153000
0,1.7,10.8,122.873248,36.34502,412153000
0,1.7,10.8,122.87327,36.345565,412153000
0,1.9,10.8,122.873292,36.346063,412153000
0,1.6,10.8,122.873323,36.346963,412153000
0,1.6,10.9,122.873343,36.347515,412153000
0,1.6,10.9,122.87336,36.348017,412153000
1,0.3,10.8,122.87336,36.348568,412153000
4,358.9,10.8,122.873335,36.349067,412153000
6,359.7,10.8,122.873333,36.349565,412153000
9,6,10.8,122.873507,36.351013,412153000
10,6.5,10.8,122.873587,36.35156,412153000
10,8.2,10.8,122.873677,36.352005,412153000
10,10.3,10.8,122.873803,36.3525,412153000
9,10.8,10.8,122.873913,36.352943,412153000
9,10.7,10.8,122.874043,36.353482,412153000
10,10.6,10.7,122.874323,36.354637,412153000
10,11.2,10.7,122.874523,36.355445,412153000
9,11.2,10.7,122.874632,36.355878,412153000
9,11.2,10.8,122.87475,36.356367,412153000
10,11.1,10.8,122.87525,36.358428,412153000
10,11.4,10.8,122.875373,36.358918,412153000
10,11.4,10.8,122.875485,36.35936,412153000
10,11.6,10.8,122.875608,36.35985,412153000
10,11.7,10.8,122.875732,36.360337,412153000
10,11.6,10.7,122.875855,36.360822,412153000
10,12,10.8,122.876122,36.361847,412153000
7,12.4,10.8,122.87649,36.363202,412153000
6,10.1,10.7,122.87675,36.36433,412153000
6,9.2,10.7,122.876842,36.364818,412153000
5,9.4,10.8,122.877023,36.365703,412153000
3,8.6,10.8,122.877207,36.366643,412153000
3,7.4,10.8,122.877297,36.367238,412153000
2,6.8,10.8,122.877365,36.367735,412153000
2,6.4,10.8,122.877425,36.368182,412153000
1,6,10.7,122.877482,36.368628,412153000
1,5.1,10.8,122.877543,36.369177,412153000
0,3.9,10.7,122.877575,36.369623,412153000
1,3.6,10.9,122.877712,36.371682,412153000
1,4,10.9,122.877755,36.372185,412153000
0,3.6,10.9,122.877792,36.372687,412153000
0,2.8,10.9,122.87782,36.37324,412153000
0,2.2,10.9,122.877865,36.374197,412153000
0,2.1,10.9,122.877888,36.374702,412153000
0,2.1,10.9,122.877912,36.375208,412153000
359,1.9,10.9,122.877962,36.376263,412153000
359,1.9,10.9,122.878003,36.37717,412153000
358,1.4,10.9,122.878017,36.37767,412153000
358,1,10.9,122.878027,36.378172,412153000
359,0.3,10.9,122.87803,36.379325,412153000
359,0.7,10.9,122.878037,36.379775,412153000
359,1.3,10.8,122.878053,36.380223,412153000
358,1,10.8,122.878063,36.380723,412153000
358,359.9,10.8,122.878062,36.381673,412153000
358,359.8,10.9,122.87806,36.382283,412153000
358,359.8,10.9,122.87806,36.383245,412153000
358,359.6,10.9,122.878052,36.38425,412153000
358,359.5,10.8,122.878048,36.38475,412153000
358,359.4,10.9,122.878043,36.385758,412153000
358,359.5,10.9,122.878038,36.38626,412153000
358,359.7,10.9,122.878037,36.386713,412153000
358,359.9,10.9,122.878038,36.38732,412153000
358,359.9,10.9,122.878038,36.387773,412153000
358,0,10.9,122.87804,36.388328,412153000
358,359.8,10.9,122.878037,36.388782,412153000
358,359.3,10.9,122.878027,36.389337,412153000
358,359.3,10.9,122.878012,36.390295,412153000
358,359.4,10.9,122.878007,36.390803,412153000
358,359.5,10.9,122.878003,36.391308,412153000
358,359.3,10.9,122.877992,36.392377,412153000
358,359.3,11,122.877987,36.392838,412153000
358,359.4,11,122.877985,36.393345,412153000
358,359.5,11,122.877977,36.393802,412153000
358,359.4,11,122.877962,36.394207,412153000
359,359.7,11,122.87796,36.395988,412153000
358,0.1,11,122.877962,36.396452,412153000
358,0.1,11,122.877962,36.396973,412153000
358,359.9,11.1,122.877957,36.397937,412153000
358,359.9,11,122.877957,36.398488,412153000
358,359.7,10.9,122.877957,36.398982,412153000
358,359.8,11,122.877957,36.399438,412153000
358,359.9,11,122.877955,36.399948,412153000
359,0.4,11,122.87796,36.400918,412153000
359,0.7,11,122.877972,36.40148,412153000
358,0.8,11,122.877982,36.401987,412153000
358,0.8,11,122.87799,36.402495,412153000
358,0.7,11,122.877997,36.403,412153000
359,0.7,10.9,122.878005,36.403505,412153000
359,0.8,10.9,122.878013,36.404008,412153000
359,1.1,10.9,122.878027,36.404565,412153000
358,1.1,10.9,122.878038,36.405072,412153000
358,1,10.9,122.87805,36.405525,412153000
358,0.7,11,122.878055,36.406035,412153000
359,0.7,11,122.878062,36.406492,412153000
359,0.7,11,122.87807,36.407053,412153000
359,0.7,11,122.87808,36.407512,412153000
359,1.1,11,122.878095,36.408068,412153000
359,1.3,11,122.87811,36.40858,412153000
359,1.5,11,122.878143,36.409543,412153000
359,1.5,11,122.878178,36.410612,412153000
359,1.3,11,122.878193,36.41117,412153000
359,1.2,11,122.878202,36.411632,412153000
358,1.1,11.1,122.878215,36.412197,412153000
358,0.9,11.1,122.878223,36.412605,412153000
358,0.9,11.1,122.878232,36.413167,412153000
358,0.5,11.1,122.878242,36.41424,412153000
358,0.3,11.1,122.878242,36.414753,412153000
358,359.8,11,122.878238,36.415677,412153000
358,359.3,11,122.87822,36.416697,412153000
358,358.9,11,122.878198,36.417247,412153000
358,358.3,11,122.87815,36.418393,412153000
358,358.1,11,122.87813,36.418802,412153000
358,357.8,11,122.878078,36.419822,412153000
358,357.9,11,122.878053,36.420382,412153000
359,357.9,11,122.878012,36.421402,412153000
359,357.9,11,122.877997,36.421808,412153000
359,358.2,11,122.877978,36.42237,412153000
359,359.3,11.1,122.877965,36.423447,412153000
359,359.2,11,122.877958,36.423903,412153000
359,359.1,11,122.877947,36.42441,412153000
359,358.9,10.9,122.877938,36.424865,412153000
359,358.7,10.9,122.877922,36.425473,412153000
359,358.8,10.9,122.877912,36.42593,412153000
359,358.7,10.9,122.877897,36.426485,412153000
359,358.4,10.8,122.877882,36.426983,412153000
359,357.9,10.8,122.877857,36.427482,412153000
359,357.9,10.8,122.877843,36.427885,412153000
359,358.1,10.8,122.877825,36.428435,412153000
359,358.5,10.8,122.877815,36.428935,412153000
359,358.6,10.8,122.877798,36.429487,412153000
359,358.3,10.8,122.877777,36.429983,412153000
359,358.2,10.8,122.877757,36.430485,412153000
359,358,10.8,122.87774,36.430885,412153000
359,358.2,10.8,122.877722,36.431383,412153000
359,358.7,10.8,122.877677,36.432937,412153000
359,358.6,10.8,122.877658,36.433487,412153000
359,358.5,10.8,122.877643,36.433935,412153000
359,358.7,10.8,122.87763,36.434433,412153000
359,358.9,10.9,122.877617,36.434937,412153000
359,358.9,10.9,122.877605,36.435438,412153000
359,358.8,10.9,122.877587,36.435987,412153000
359,358.9,10.9,122.877575,36.436485,412153000
359,358.9,10.9,122.877565,36.436887,412153000
359,359.3,10.9,122.877557,36.437392,412153000
359,359.4,10.9,122.877537,36.437968,412153000
359,359,10.8,122.87752,36.43896,412153000
359,358.2,10.7,122.877483,36.439922,412153000
359,358.3,10.7,122.87747,36.440385,412153000
359,358.5,10.6,122.877457,36.440918,412153000
359,358.8,10.6,122.877448,36.44141,412153000
359,358.7,10.6,122.877433,36.44195,412153000
359,358.7,10.6,122.877397,36.443365,412153000
359,359,10.6,122.877392,36.443858,412153000
359,358.7,10.5,122.877378,36.444343,412153000
359,358.5,10.5,122.877365,36.444833,412153000
359,358.4,10.6,122.87735,36.44538,412153000
359,358.5,10.6,122.87734,36.445773,412153000
359,358.7,10.7,122.877332,36.446272,412153000
359,358.9,10.7,122.877323,36.446822,412153000
359,359.2,10.7,122.877322,36.447267,412153000
359,359.6,10.7,122.877323,36.447813,412153000
359,359.4,10.8,122.877317,36.448362,412153000
359,358.9,10.7,122.877303,36.448805,412153000
359,359.7,10.7,122.877285,36.450285,412153000
359,359.1,10.6,122.87725,36.45175,412153000
359,359.2,10.6,122.877245,36.452243,412153000
359,359.1,10.6,122.877232,36.453233,412153000
359,359,10.7,122.877197,36.455207,412153000
359,358.7,10.7,122.877117,36.457663,412153000
359,358.6,10.7,122.8771,36.458208,412153000
359,358.7,10.7,122.877052,36.45964,412153000
359,358.9,10.7,122.877042,36.460188,412153000
359,359,10.8,122.877027,36.460582,412153000
359,359,10.7,122.877012,36.46112,412153000
359,359,10.7,122.876998,36.461613,412153000
359,358.6,10.7,122.87698,36.462107,412153000
359,358.8,10.7,122.876967,36.462603,412153000
359,359.1,10.7,122.876955,36.463145,412153000
359,359.1,10.7,122.876947,36.46359,412153000
359,359,10.7,122.876933,36.464132,412153000
359,358.8,10.6,122.876908,36.465068,412153000
359,359.2,10.7,122.876902,36.465612,412153000
359,359.5,10.6,122.876892,36.467042,412153000
359,359.3,10.6,122.876877,36.468075,412153000
359,359.7,10.7,122.876868,36.468962,412153000
359,359.8,10.7,122.876865,36.469453,412153000
359,359.5,10.6,122.876858,36.469992,412153000
359,359.2,10.6,122.876847,36.470528,412153000
359,358.7,10.6,122.87683,36.471017,412153000
359,358.5,10.5,122.87681,36.471505,412153000
359,359.2,10.7,122.876795,36.472443,412153000
359,359.7,10.7,122.876793,36.472985,412153000
359,359.7,10.6,122.87679,36.473425,412153000
359,359.2,10.6,122.87678,36.47396,412153000
359,358.6,10.6,122.876763,36.474402,412153000
359,358,10.6,122.876722,36.47533,412153000
359,358.4,10.6,122.876708,36.475823,412153000
359,358.3,10.6,122.87667,36.476853,412153000
359,358.2,10.6,122.87665,36.477343,412153000
359,358.3,10.6,122.876612,36.478318,412153000
359,358.4,10.6,122.876595,36.478808,412153000
359,358.6,10.7,122.876582,36.479352,412153000
359,358.9,10.7,122.876573,36.479845,412153000
359,359,10.7,122.876562,36.480338,412153000
359,358.9,10.6,122.876552,36.48073,412153000
359,358.6,10.6,122.876542,36.481272,412153000
359,358.8,10.6,122.8765,36.482742,412153000
